,id,time,link,message,like,share,comment,commentsHighlight
146,1282973728458676_2091315907624450,1552726559,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2091315710957803/?type=3,"ผลการออกสลากกินแบ่งรัฐบาล งวดประจำวันที่ 16 มีนาคม 2562 รางวัลที่ 1 เลขที่ออก 724628 รางวัลเลขท้าย 2 ตัว >> 64 รางวัลเลขหน้า 3 ตัว >> 883, 148 รางวัลเลขท้าย 3 ตัว >> 877, 154 #หวย #ตรวจหวย #Ch3Thailand",4772,784,99,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMzE1OTA3NjI0NDUwXzIwOTEzNDQ0OD...  1552727975   
1  Y29tbWVudDoyMDkxMzE1OTA3NjI0NDUwXzIwOTEzMzQxOT...  1552727472   

                                             message  like  
0  หวยเหี้ยไร แม่งออกแต่ 65 56 65 64\nโคตรพ่องงงง...    15  
1                                         เฉลยข้อสอบ    11  "
147,1282973728458676_2091259487630092,1552725000,https://www.facebook.com/CH3Thailand/videos/305104800145640/,"วันนี้ คุณแม่ของน้องมะลิ ""โบว์ แวนดา"" พาเข้าครัวเรียนทำหอยจ๊อสูตรเด็ดของร้านแม่วรรณา รามคำแหง24 พบกันในรายการ #ตลาดสดพระราม4 เวลา 16.30 น. ทางช่อง33 ดูออนไลน์คลิก www.ch3thailand.com/live/33 หรือแอปพลิเคชัน #Ch3Thailand",1564,58,28,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMjU5NDg3NjMwMDkyXzIwOTEyOTYyNz...  1552725183   
1  Y29tbWVudDoyMDkxMjU5NDg3NjMwMDkyXzIwOTEzMDQyNT...  1552725827   

                                  message  like  
0                ชอบคุณโบว์กับน้องมะลิค่ะ     1  
1  สาขาหนองมนก็มีค่ะ ใช่สาขาเดียวกันไหมคะ     1  "
148,1282973728458676_2091252744297433,1552722025,https://www.facebook.com/CH3Thailand/videos/631335990626082/,#ตีสิบเดย์ พบกับแขกรับเชิญพิเศษ #BamBam #GOT7 งานนี้คุณวิทวัจน์มีเกมภาษาไทยสนุกๆ มาทดสอบ ซึ่งแม้แต่ #แพทณปภา ยังบอกว่ายาก แล้วแบมแบมจะทำได้หรือไม่ ติดตามชมได้ในเวลา 15.00 น. ทางช่อง33 ดูออนไลน์คลิก http://www.ch3thailand.com/live/33  หรือแอปพลิเคชัน #Ch3Thailand,376,15,14,"Empty DataFrame
Columns: []
Index: []"
149,1282973728458676_2091110377645003,1552712400,https://www.facebook.com/CH3Thailand/posts/2091110377645003,ทองเอก หมอยา ท่าโฉลง EP.12 ดูย้อนหลังได้แล้วทาง Youtube เรารวบรวมมาให้แล้ว คลิกชมกันได้เลย >> http://www.ch3thailand.com/news/scoop/16322 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand #ทองเอกหมอยาท่าโฉลงep12,3117,44,11,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMTEwMzc3NjQ1MDAzXzIwOTI0Mjk0OD...  1552793125   

                             message  like  
0  The best a drama I ever see...😍😍😍     1  "
150,1282973728458676_2091102357645805,1552711800,https://www.facebook.com/CH3Thailand/posts/2091102357645805,"""ต่อให้ไม่มีใครรู้ว่าเงินได้มายังไง แต่เราก็รู้อยู่ดีว่าได้เงินมาจากไหน"" ดูย้อนหลัง ซีรีส์ลูกผู้ชาย ปัทม์ EP.03 | 15-03-62 http://www.ch3thailand.com/news/scoop/16318 #ซีรีส์ลูกผู้ชาย #ปัทม์ #Ch3Thailand",389,5,3,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMTAyMzU3NjQ1ODA1XzIwOTE3OTM2OD...  1552753556   
1  Y29tbWVudDoyMDkxMTAyMzU3NjQ1ODA1XzIwOTEzNzAzOT...  1552729889   

                   message  like  
0  นางเอกรุงรังจัง  😁😁😅😅😆😆     1  
1       ชอบพระเอกหน้าบ้านๆ     1  "
151,1282973728458676_2091096054313102,1552710807,https://www.facebook.com/CH3Thailand/posts/2091096054313102,"""ฉันไม่จำเป็นต้องไปขายเรื่องอะไรของใครเพื่อเงิน"" ดูย้อนหลัง กลลวงทวงหนี้รัก EP.24 | 15-03-62 http://www.ch3thailand.com/news/scoop/16317 #กลลวงทวงหนี้รัก #Ch3Thailand",563,9,6,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMDk2MDU0MzEzMTAyXzIwOTE0Mzk2Mz...  1552734374   
1  Y29tbWVudDoyMDkxMDk2MDU0MzEzMTAyXzIwOTExMjgzNT...  1552713074   

                                             message  like  
0  คุณอัศวินทำไมไม่สืบเรื่องหาความจริงก่อนและไปพู...     1  
1  นางเอกใหม่ใช่มัยค่ะ ไม่เคยเห็นแต่ขอชื่นชมนะค่ะ...     0  "
152,1282973728458676_2091070610982313,1552708970,https://www.facebook.com/CH3Thailand/photos/a.1331740613581987/2091070574315650/?type=3,เรื่องราวของปัทม์จะเป็นอย่างไรต่อไป ชม #ซีรีส์ลูกผู้ชาย #ปัทม์ ย้อนหลังที่แรกก่อนใคร คลิก👉 http://bit.ly/2Y2YgsT #MelloThailand #Ch3Thailand,166,0,1,"                                                  id        time  \
0  Y29tbWVudDoyMDkxMDcwNjEwOTgyMzEzXzIwOTIzMDgzMT...  1552785310   

               message  like  
0  พี่ปัทม์สู้นะค่ะๆๆๆ     0  "
153,1282973728458676_2090963664326341,1552701963,https://www.facebook.com/CH3Thailand/videos/2150448585023606/,"คุยแบบเปิดอกกับผู้จัดและทีมนักแสดงจาก ""วัยแสบสาแหรกขาด โครงการ 2"" ที่ใกล้จะลงจอให้ได้รับชมกันแล้ว ใน #เปิดกองวิก3 วันนี้ เวลา 09.15 น. ทางช่อง33 ดูออนไลน์คลิก www.ch3thailand.com/live/33 หรือแอปพลิเคชัน #Ch3Thailand #วัยแสบสาแหรกขาด2",262,3,5,"                                                  id        time  \
0  Y29tbWVudDoyMDkwOTYzNjY0MzI2MzQxXzIwOTEwMDYyMz...  1552704797   

                                     message  like  
0  ปูสื่อรอแล้วจร้าชอบตั้งแต่โครองการแรกแล้ว     0  "
154,1282973728458676_2090868047669236,1552695343,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2090867901002584/?type=3,โปรแกรมน่าสนใจจากช่อง3 วันเสาร์ที่ 16 มีนาคม 2562 ดูเพิ่มเติมได้ที่ www.ch3thailand.com #Ch3Thailand #ช่อง33 #ช่อง28 #ช่อง13 #ซีรีส์ลูกผู้ชาย #ปัทม์ #กรงกรรม #LOTR #TwoTowers #ระเบิดครัว #กระทิงขุนณรงค์ #วัยแสบสาแหรกขาด2 #เปิดกองวิก3,258,1,0,"Empty DataFrame
Columns: []
Index: []"
155,1282973728458676_2090836367672404,1552692947,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2090836044339103/?type=3,ตารางออกอากาศ ประจำวันเสาร์ที่ 16 มีนาคม 2562 ของ #ช่อง33 ติดตามผังรายการช่อง3 เพิ่มเติมที่ http://bit.ly/2ivQ6sP #Ch3Thailand #ผังรายการช่อง33 #ช่อง3,139,2,1,"                                                  id        time  \
0  Y29tbWVudDoyMDkwODM2MzY3NjcyNDA0XzIwOTA5MTA5NT...  1552698400   

                    message  like  
0  เอาทองเอกมา4วันแทนสนุกดี     0  "
